Year,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Continent,Location,Dis Mag Value,Dis Mag Scale,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,Total Damages ('000 US$),CPI
2002,Natural,Meteorological,Storm,Tropical cyclone,,Lili,United States of America (the),USA,Americas,"St. Tammany, Terrebonne, Lafayette, Acadia, Evangeline, Rapides districts (Louisiana province)",,Kph,2002,10.0,3.0,2002,10.0,3.0,,2000000.0,69.50047255
2002,Natural,Meteorological,Storm,Tropical cyclone,,Isidore,United States of America (the),USA,Americas,"Louisiane, Mississippi, Alabama, Tennessee provinces",105.0,Kph,2002,9.0,26.0,2002,9.0,27.0,1.0,300000.0,69.50047255
2003,Natural,Meteorological,Storm,Tropical cyclone,,Isabel,United States of America (the),USA,Americas,"North Carolina, Maryland, Virginia, West Virginia, Delaware, Pennsylvania, New Jersey, District of Columbia provinces",170.0,Kph,2003,9.0,18.0,2003,9.0,22.0,16.0,3370000.0,71.07819758
2003,Natural,Meteorological,Storm,Tropical cyclone,,Bill,United States of America (the),USA,Americas,"Orleans, St. John the Baptist, Terrebonne, St. Tammany, Tangipahoa districts (Louisiana province), Hancock, Harrison, Jackson, Pike, Walthall districts (Mississippi province), Bay district (Florida province), Mobile, Baldwin, Lee districts (Alabama province), Sumter, Bulloch, Fulton, DeKalb, Cobb, Clayton, Gwinnett districts (Georgia province), Wake district (North Carolina province)",95.0,Kph,2003,6.0,30.0,2003,6.0,30.0,4.0,50000.0,71.07819758
2004,Natural,Meteorological,Storm,Tropical cyclone,,Ivan,United States of America (the),USA,Americas,"Alabama, Louisiana, Mississippi, Florida, Pennsylvania, Maryland, New Jersey, Ohio, North Carolina, West Virginia, Georgia, Tennessee provinces",,Kph,2004,9.0,15.0,2004,9.0,16.0,52.0,18000000.0,72.98112921
2004,Natural,Meteorological,Storm,Tropical cyclone,,Frances,United States of America (the),USA,Americas,"Martin, Palm Beach districts (Florida province), North Carolina, South Carolina, Ohio provinces",,Kph,2004,9.0,5.0,2004,9.0,5.0,47.0,11000000.0,72.98112921
2004,Natural,Meteorological,Storm,Tropical cyclone,,Gaston,United States of America (the),USA,Americas,"Richmond, Lynchburg, Chesterfield districts (Virginia province), South Carolina, North Carolina provinces",,Kph,2004,8.0,29.0,2004,8.0,30.0,7.0,62500.0,72.98112921
2004,Natural,Meteorological,Storm,Tropical cyclone,,Charley,United States of America (the),USA,Americas,"Bay, Calhoun, Escambia, Franklin, Gadsden, Gulf, Holmes, Jackson, Jefferson, Leon, Liberty, Madison, Okaloosa, Santa Rosa, Taylor, Wakulla, Walton, Washington districts (Florida province), South Carolina, North Carolina provinces",230.0,Kph,2004,8.0,13.0,2004,8.0,13.0,10.0,16000000.0,72.98112921
2004,Natural,Meteorological,Storm,Tropical cyclone,,Jeanne,United States of America (the),USA,Americas,Florida province,,Kph,2004,9.0,25.0,2004,9.0,26.0,6.0,8000000.0,72.98112921
2005,Natural,Meteorological,Storm,Tropical cyclone,,Katrina,United States of America (the),USA,Americas,"Mobile, Bayou La Batre, Dauphin Island, Coden areas (Mobile district, Alabama province), New Orleans city (Orleans district, Louisiana province), Slidell area (St. Tammany district, Louisiana province), St. Bernard district (Louisiana province), Biloxi, Gulfport cities (Harrison district, Mississippi province), Pascagoula city (Jackson district, Mississippi province), Waveland, Bay St. Louis cities (Hancock district, Mississippi province), Georgia, Florida provinces",280.0,Kph,2005,8.0,29.0,2005,9.0,19.0,1833.0,125000000.0,75.45719958
2005,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Wilma""",United States of America (the),USA,Americas,"Florida Keys, Naples areas (Collier district, Florida province)",165.0,Kph,2005,10.0,24.0,2005,10.0,24.0,4.0,14300000.0,75.45719958
2005,Natural,Meteorological,Storm,Tropical cyclone,,Rita,United States of America (the),USA,Americas,"Louisiana, Texas, Mississippi provinces",280.0,Kph,2005,9.0,23.0,2005,10.0,1.0,10.0,16000000.0,75.45719958
2005,Natural,Meteorological,Storm,Tropical cyclone,,"Hurricane ""Dennis""",United States of America (the),USA,Americas,"Florida, Georgia provinces",,Kph,2005,7.0,10.0,2005,7.0,10.0,5.0,2230000.0,75.45719958
2006,Natural,Meteorological,Storm,Tropical cyclone,,Ernesto,United States of America (the),USA,Americas,"South Carolina, North Carolina, Virginia provinces",119.0,Kph,2006,8.0,2.0,2006,9.0,7.0,6.0,32860.0,77.89139999
2007,Natural,Meteorological,Storm,Tropical cyclone,,Erin,United States of America (the),USA,Americas,"Texas, Oklahoma, Missouri provinces",132.0,Kph,2007,8.0,16.0,2007,8.0,19.0,7.0,,80.11339326
2008,Natural,Meteorological,Storm,Tropical cyclone,,Hurricane Dolly,United States of America (the),USA,Americas,"Panama city beach (Bay district, Florida province), Aransas, Bexar, Brooks, Calhoun, Cameron, Hidalgo, Jim Wells, Kenedy, Kleberg, Nueces, Refugio, San Patricio, Starr, Victoria, Willacy districts (Texas province)",160.0,Kph,2008,7.0,23.0,2008,7.0,23.0,,1200000.0,83.18902296
